# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Aug  4 21:24:29 2021
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display like '%Kepler%'
# CONSTRAINT:  and pl_orbperstr > 0
# CONSTRAINT:  and pl_orbsmaxstr > 0
# CONSTRAINT:  and pl_radjstr > 0
# CONSTRAINT:  and pl_orbinclstr > 0
# CONSTRAINT:  and pl_tranmidstr > 0
# CONSTRAINT:  and st_teffstr > 0
# CONSTRAINT:  and st_radstr > 0
# CONSTRAINT:  and st_massstr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-1649 b,Kepler-1649,8.68909000,0.00002400,-0.00002400,0,0.051400,0.002800,-0.002800,0,0.096,0.013,-0.013,0,89.570,0.320,-0.320,0,2454966.234800,0.002600,-0.002600,0,3240.00,61.00,-61.00,0,0.25,0.04,-0.04,0,0.22,0.02,-0.02,0
Kepler-560 b,Kepler-560,18.47764400,0.00001110,-0.00001110,0,0.089900,0.003100,-0.006200,0,0.131,0.014,-0.020,0,89.606,0.003,-0.094,0,2455018.268230,0.000520,-0.000520,0,3430.00,48.00,-48.00,0,0.27,0.04,-0.03,0,0.27,0.05,-0.04,0
Kepler-1652 b,Kepler-1652,38.09722000,0.00021000,-0.00021000,0,0.165400,0.004200,-0.007500,0,0.143,0.016,-0.016,0,89.993,0.004,-0.143,0,2454973.004500,0.004700,-0.004700,0,3638.00,51.00,-51.00,0,0.38,0.04,-0.04,0,0.40,0.04,-0.05,0
Kepler-1512 b,Kepler-1512,20.35972200,0.00007600,-0.00007600,0,0.109700,0.004500,-0.007900,0,0.071,0.012,-0.012,0,89.450,0.004,-0.140,0,2454967.291100,0.002500,-0.002500,0,3484.00,91.00,-91.00,0,0.39,0.05,-0.07,0,0.42,0.05,-0.09,0
Kepler-296 e,Kepler-296,34.14204000,0.00025000,-0.00029000,0,0.149000,0.035000,-0.024000,0,0.132,0.014,-0.022,0,89.890,0.110,-0.260,0,2455686.015400,0.003000,-0.003500,0,3572.00,80.00,-80.00,0,0.43,0.04,-0.03,0,0.45,0.03,-0.04,0
Kepler-296 f,Kepler-296,63.33600000,0.00050000,-0.00050000,0,0.283000,0.046000,-0.041000,0,0.156,0.011,-0.017,0,89.950,0.050,-0.120,0,2455692.305100,0.002600,-0.002600,0,3572.00,80.00,-80.00,0,0.43,0.04,-0.03,0,0.45,0.03,-0.04,0
Kepler-1229 b,Kepler-1229,86.82974000,0.00080000,-0.00080000,0,0.300600,0.006900,-0.009100,0,0.120,0.008,-0.012,0,89.997,0.007,-0.053,0,2455022.261700,0.005200,-0.005200,0,3577.00,58.00,-58.00,0,0.45,0.03,-0.04,0,0.48,0.03,-0.05,0
Kepler-235 b,Kepler-235,3.34021780,0.00000210,-0.00000210,0,0.034820,0.000420,-0.000560,0,0.194,0.007,-0.011,0,89.470,0.000,-0.330,0,2455004.979110,0.000580,-0.000580,0,3996.00,55.00,-55.00,0,0.49,0.02,-0.03,0,0.51,0.02,-0.02,0
Kepler-235 c,Kepler-235,7.82504600,0.00003000,-0.00003000,0,0.061410,0.000740,-0.000990,0,0.107,0.006,-0.006,0,89.160,0.001,-0.190,0,2454969.550300,0.003800,-0.003800,0,3996.00,55.00,-55.00,0,0.49,0.02,-0.03,0,0.51,0.02,-0.02,0
Kepler-235 d,Kepler-235,20.06039000,0.00004900,-0.00004900,0,0.115000,0.001400,-0.001800,0,0.181,0.009,-0.009,0,89.576,0.001,-0.066,0,2454980.464600,0.002000,-0.002000,0,3996.00,55.00,-55.00,0,0.49,0.02,-0.03,0,0.51,0.02,-0.02,0
